M1, 384400 397900;
M11, 388100 398000;
M12, 386600 396500;
M13, 385800 396000;
M14, 385100 394600;
M15, 383400 396600;
M16, 382500 395400;
M17, 378900 397000;
M18, 388800 396100;
M19, 387100 393400;
M2, 383900 398200;
M20, 384700 392100;
M21, 382000 393500;
M22, 382800 387700;
M23, 380900 389200;
M24, 387000 406100;
M25, 381800 403600;
M26, 377900 407300;
M27, 377700 401800;
M28, 373700 402100;
M29, 369700 401400;
M3, 383400 398600;
M30, 376500 398700;
M31, 372000 391500;
M32, 379500 394900;
M33, 378400 391600;
M34, 392200 395500;
M35, 389900 401200;
M38, 372100 404000;
M4, 384800 398700;
M40, 387400 400800;
M41, 375900 395000;
M43, 390200 398600;
M44, 371700 393900;
M45, 380900 405700;
M46, 367500 403400;
M5, 381100 398100;
M6, 380300 399500;
M60, 384900 398900;
M7, 382700 401000;
M8, 384200 401400;
M9, 385900 402800;
M90, 381600 385200;
